,id,direction,title
,,,
0.0,hvznws,https://drive.google.com/file/d/1JfDQAXTamLWH-G9LfROhVegVxYyCBBgp/view?usp=sharing,The Lunch77 Suicideboys/Scrim Drumkit
1.0,hzj0ki,https://drive.google.com/file/d/1ddaHBdOzC-w_dHmEMBP23joErca8Gm22/view?usp=sharing,Kanye West Production Kit (this is long overdue)
2.0,i0tabi,https://drive.google.com/file/d/1K4JNS5N0ZuBYF12hEcx0VaRwNshzanbb/view?usp=sharing,The Lunch77 Pierre Bourne Drumkit
3.0,ibh7qs,https://drive.google.com/file/d/1_jbojUZl79t0a8aVwU1xf3oa_QirgHj9/view?usp=sharing,Acapella Stash 3
4.0,hye08s,https://drive.google.com/file/d/1HxrCUMpYZK4WHHOZ6IdFnYbAG-Ki1i_M/view?usp=sharing,The Lunch77 Whitearmor Drumkit
5.0,hx0gv6,http://www.mediafire.com/file/9o0nnpa6tml7i3e/Shadows_Kit.zip/file,"Made a free drumkit with ton of fx etc, themed around creepy sounds and textures, Drums are more lo-fi and some more classic trappy stuff.First pack ive made and spent long time doing sound design for some of these. Hope some of you enjoy and let me know what you think, i wanna make more in future ."
6.0,hz5cyo,https://drive.google.com/file/d/17USLe3UyYosq1DWeFYoZb2cTbLGQmlas/view?usp=sharing,The Lunch77 Metro Boomin Drumkit
7.0,i5xt3s,https://drive.google.com/file/d/1TYHxrvZrPZ3XwVAdj_RjbZLNqnjw4LJf/view?usp=sharing,Everything you need kit with 80 808s tuned to C and all sounds eq'd
8.0,i2kpqm,https://drive.google.com/file/d/1ZqcZANL_A8RVx20t3mWcVZp4wGNG9wGM/view?usp=sharing,The Lunch77 Three 6 Mafia/Juicy J/DJ Paul Drumkit
9.0,i8i7fg,https://drive.google.com/drive/folders/1pyE7GqTTWxFfL624lbYD0rJ9WEJFFB-4?usp=sharing,"15 risers made by me, hope yall enjoy."
10.0,i1wcsl,https://drive.google.com/file/d/1ivsTyz-Ek21WjqoUABg9xTZVIWQnXKkY/view?usp=sharing,The Lunch77 Murda Beatz Drumkit
11.0,i91g21,http://www.mediafire.com/file/w9els80dso1bgba/file,"TR-808 Kit. Raw, unprocessed, & recorded with analog gear."
12.0,hxsoxe,https://drive.google.com/file/d/1j1A0tbtCEjxbJ1SBgDuKjgl4KzAEU1m7/view?usp=sharing,The Lunch77 Kid Cudi & Dot Da Genius Drumkit
13.0,i07wkk,https://drive.google.com/file/d/1IKDvGFhkVZRG7mqyCmmGwETFrpp89sgz/view?usp=sharing,The Lunch77 TM88 Drumkit
14.0,i1hljb,https://drive.google.com/file/d/1j6KEe-14knQnU9-lObGAnWD-2f-TL0e7/view?usp=sharing,The Lunch77 Wheezy Drumkit
