,id,direction,title
,,,
0.0,ibh7qs,https://drive.google.com/file/d/1_jbojUZl79t0a8aVwU1xf3oa_QirgHj9/view?usp=sharing,Acapella Stash 3
1.0,icm9nu,https://www4.zippyshare.com/v/dT50GVod/file.html,KEYSCAPE LIBRARY ONESHOTS (338 SOUNDS) *shoutout to fuzybeats for help*
2.0,icxglr,https://drive.google.com/file/d/1NL0bQHLCJ9_nJj8XskWoxjh1nXLxw8Wa/view?usp=sharing,The Lunch77 DJ Dahi Drumkit
3.0,iafk4r,https://drive.google.com/file/d/1hsVPv1wMxCSU5oCLDIKzEUc35iKbK4Rk/view?usp=sharing,Acapella Stash 2
4.0,iacryb,https://drive.google.com/file/d/1_7bwKhMfzlCSqVluaXbi_hrOaBkqVK_O/view?usp=drivesdk,3XHA1E VOXs ONESHOT (135 Sounds)
5.0,icihyu,https://drive.google.com/drive/folders/1ZHb0a6hFHgI5ELRc4RnDWSbnGudFPRA0?usp=sharing,CHASETHEMONEY DRUM KIT - I will be posting high quality sound kits once a week.. stay tuned and enjoy!
6.0,idmdzv,https://drive.google.com/file/d/1v3iDSqPXfpdDz2mltExj88GyeWNkPRvK/view?usp=sharing,The 6ix (Shows the Screen) Drumkit
7.0,idguim,https://drive.google.com/drive/folders/1FuPkDjD-i2et1LnMlRNbQaKJ3gKvRu0B?usp=sharing,Banjo-Kazooie (SFX Kit)
8.0,icg1tq,https://drive.google.com/drive/folders/1lC2D_1lCSnGw1uMmW28as7QpxIibVN14?usp=sharing,Complete IM One Shot Collection
9.0,ibzut6,https://www.dropbox.com/sh/xu8m3rjasorertn/AAAgAIU0wLOUk9WrW8TjkmJea?dl=0,Goodcarter - Lustrum One Shot kit
10.0,i9zu7m,https://drive.google.com/drive/folders/1CDN0bXP9MbaqMFnTIwtMeQCAMVkcJ00G?usp=sharing,Some PR0DBYJ4CK Kits
11.0,icdnnj,https://mega.nz/file/ntslVAyJ#K82J6r5p_2S996A0-cvG1VvhY_rvcqS5vVZWtmDDAfE,Detroit Rap Quick DrumKit (The only Drums/Snares/Synths you need for making Detroit style rap beats! Set the tempo past 105BPM & go to work!)
12.0,i9rxga,http://www.mediafire.com/file/znoh0uunnfsppi2/IAMDrumkit_2.zip/file,IAM DRUM KIT
13.0,i9tn42,https://mega.nz/file/L01AhCpa#y496t0Nry5fLJqvXplDSl1o3I1TOPQo6-Q_LqlUnREs,"vanderskii - talisman drumkit || contains futuristic/experimental and interesting sounds, would really appreciate it if you used it and/or left some feedback, thanks!"
14.0,ibc5zk,https://drive.google.com/drive/folders/1dpva2VyZWT6_6BxIQ_gliVGSIGvkc4zL?usp=sharing,"Sono Virtual Plugg Drumkit [Purity One Shots, Drums & More] This drumkit's for the Logic Pro X users who can't use Purity, so I made one shots of the most essentials sounds in the production of a plugg beat, along with drums and presets for the fl studio users. Hope everyone likes it! That's my fir"
